"","state_province","n"
"1","Wisconsin",1737
"2","New York",892
"3","Illinois",843
"4","Iowa",528
"5","Kansas",377
"6","Massachusetts",374
"7","Washington",314
"8","Connecticut",276
"9","Florida",269
"10","California",240
"11","Nebraska",222
"12","Pennsylvania",208
"13","Oregon",166
"14","Maryland",162
"15","Michigan",159
"16","Missouri",158
"17","Utah",144
"18","Minnesota",130
"19","Virginia",130
"20","Ohio",129
"21","Indiana",128
"22","Arizona",118
"23","Idaho",114
"24","Washington District of Columbia",113
"25","North Dakota",112
"26","New Jersey",111
"27","West Virginia",98
"28","Colorado",96
"29","Texas",90
"30","Montana",89
"31","South Dakota",83
"32","Wyoming",83
"33","Georgia",82
"34","Delaware",74
"35","North Carolina",70
"36","Mississippi",66
"37","Alabama",63
"38","South Carolina",59
"39","Louisiana",48
"40","Tennessee",41
"41","Alaska",32
"42","Arkansas",28
"43","Kentucky",27
"44","Puerto Rico",26
"45","Maine",24
"46","Vermont",20
"47","New Mexico",15
"48","Oklahoma",15
"49","New Hampshire",13
"50","Nevada",8
"51","Rhode Island",8
"52","Hawaii",6
"53",NA,2
