"","x"
"Alabama",26
"Alaska",14
"Arizona",26
"Arkansas",14
"California",62
"Colorado",27
"Connecticut",33
"Delaware",29
"Florida",30
"Georgia",29
"Hawaii",5
"Idaho",30
"Illinois",62
"Indiana",35
"Iowa",69
"Kansas",56
"Kentucky",12
"Louisiana",19
"Maine",18
"Maryland",42
"Massachusetts",46
"Michigan",34
"Minnesota",38
"Mississippi",28
"Missouri",39
"Montana",38
"Nebraska",48
"Nevada",6
"New Hampshire",7
"New Jersey",29
"New Mexico",7
"New York",70
"North Carolina",22
"North Dakota",30
"Ohio",27
"Oklahoma",7
"Oregon",41
"Pennsylvania",37
"Puerto Rico",4
"Rhode Island",5
"South Carolina",13
"South Dakota",30
"Tennessee",20
"Texas",31
"Utah",34
"Vermont",10
"Virginia",34
"Washington",55
"Washington District of Columbia",32
"West Virginia",25
"Wisconsin",96
"Wyoming",31
